MCS	NormalTCells	ActivatedTCells	TotalTCells
1094	29	1	30
1095	29	1	30
1096	29	1	30
1097	29	1	30
1098	29	1	30
1099	29	1	30
1100	29	1	30
1101	29	1	30
1102	29	1	30
1103	29	1	30
1104	29	1	30
1105	29	1	30
1106	29	1	30
1107	29	1	30
1108	29	1	30
1109	29	1	30
1110	29	1	30
1111	29	1	30
1112	29	1	30
1113	29	1	30
1114	29	1	30
1115	29	1	30
1116	29	1	30
1117	29	1	30
1118	29	1	30
1119	29	1	30
1120	29	1	30
1121	29	1	30
1122	29	1	30
1123	29	1	30
1124	29	1	30
1125	29	1	30
1126	29	1	30
1127	29	1	30
1128	29	1	30
1129	29	1	30
1130	29	1	30
1131	29	1	30
1132	29	1	30
1133	29	1	30
1134	29	1	30
1135	29	1	30
1136	29	1	30
1137	29	1	30
1138	29	1	30
1139	29	1	30
1140	29	1	30
1141	29	1	30
1142	29	1	30
1143	29	1	30
1144	29	1	30
1145	29	1	30
1146	29	1	30
1147	29	1	30
1148	29	1	30
1149	29	1	30
1150	29	1	30
1151	29	1	30
1152	29	1	30
1153	29	1	30
1154	29	1	30
1155	29	1	30
1156	29	1	30
1157	29	1	30
1158	29	1	30
1159	29	1	30
1160	29	1	30
1161	29	1	30
1162	29	1	30
1163	29	1	30
1164	29	1	30
1165	29	1	30
1166	29	1	30
1167	29	1	30
1168	29	1	30
1169	29	1	30
1170	29	1	30
1171	29	1	30
1172	29	1	30
1173	29	1	30
1174	29	1	30
1175	29	1	30
1176	29	1	30
1177	29	1	30
1178	29	1	30
1179	29	1	30
1180	29	1	30
1181	29	1	30
1182	29	1	30
1183	29	1	30
1184	29	1	30
1185	29	1	30
1186	29	1	30
1187	29	1	30
1188	29	1	30
1189	29	1	30
1190	29	1	30
1191	29	1	30
1192	29	1	30
1193	29	1	30
1194	29	1	30
1195	29	1	30
1196	29	1	30
1197	29	1	30
1198	29	1	30
1199	29	1	30
1200	29	1	30
1201	29	1	30
1202	29	1	30
1203	29	1	30
1204	29	1	30
1205	29	1	30
1206	29	1	30
1207	29	1	30
1208	29	1	30
1209	29	1	30
1210	29	1	30
1211	29	1	30
1212	29	1	30
1213	29	1	30
1214	29	1	30
1215	29	1	30
1216	29	1	30
1217	29	1	30
1218	29	1	30
1219	29	1	30
1220	29	1	30
1221	29	1	30
1222	29	1	30
1223	29	1	30
1224	29	1	30
1225	29	1	30
1226	29	1	30
1227	29	1	30
1228	29	1	30
1229	29	1	30
1230	29	1	30
1231	29	1	30
1232	29	1	30
1233	29	1	30
1234	29	1	30
1235	29	1	30
1236	29	1	30
1237	29	1	30
1238	29	1	30
1239	29	1	30
1240	29	1	30
1241	29	1	30
1242	29	1	30
1243	29	1	30
1244	29	1	30
1245	29	1	30
1246	29	1	30
1247	29	1	30
1248	29	1	30
1249	29	1	30
1250	29	1	30
1251	29	1	30
1252	29	1	30
1253	29	1	30
1254	29	1	30
1255	29	1	30
1256	29	1	30
1257	29	1	30
1258	29	1	30
1259	29	1	30
1260	29	1	30
1261	29	1	30
1262	29	1	30
1263	29	1	30
1264	29	1	30
1265	29	1	30
1266	29	1	30
1267	29	1	30
1268	29	1	30
1269	29	1	30
1270	29	1	30
1271	29	1	30
1272	29	1	30
1273	29	1	30
1274	29	1	30
1275	29	1	30
1276	29	1	30
1277	29	1	30
1278	29	1	30
1279	29	1	30
1280	29	1	30
1281	29	1	30
1282	29	1	30
1283	29	1	30
1284	29	1	30
1285	29	1	30
1286	29	1	30
1287	29	1	30
1288	29	1	30
1289	29	1	30
1290	29	1	30
1291	29	1	30
1292	29	1	30
1293	29	1	30
1294	29	1	30
1295	29	1	30
1296	29	1	30
1297	29	1	30
1298	29	1	30
1299	29	1	30
1300	29	1	30
1301	29	1	30
1302	29	1	30
1303	29	1	30
1304	29	1	30
1305	29	1	30
1306	29	1	30
1307	29	1	30
1308	29	1	30
1309	29	1	30
1310	29	1	30
1311	29	1	30
1312	29	1	30
1313	29	1	30
1314	29	1	30
1315	29	1	30
1316	29	1	30
1317	29	1	30
1318	29	1	30
1319	29	1	30
1320	29	1	30
1321	29	1	30
1322	29	1	30
1323	29	1	30
1324	29	1	30
1325	29	1	30
1326	29	1	30
1327	29	1	30
1328	29	1	30
1329	29	1	30
1330	29	1	30
1331	29	1	30
1332	29	1	30
1333	29	1	30
1334	29	1	30
1335	29	1	30
1336	29	1	30
1337	29	1	30
1338	29	1	30
1339	29	1	30
1340	29	1	30
1341	29	1	30
1342	29	1	30
1343	29	1	30
1344	29	1	30
1345	29	1	30
1346	29	1	30
1347	29	1	30
1348	29	1	30
1349	29	1	30
1350	29	1	30
1351	29	1	30
1352	29	1	30
1353	29	1	30
1354	29	1	30
1355	29	1	30
1356	29	1	30
1357	29	1	30
1358	29	1	30
1359	29	1	30
1360	29	1	30
1361	29	1	30
1362	29	1	30
1363	29	1	30
1364	29	1	30
1365	29	1	30
1366	29	1	30
1367	29	1	30
1368	29	1	30
1369	29	1	30
1370	29	1	30
1371	29	1	30
1372	29	1	30
1373	29	1	30
1374	29	1	30
1375	29	1	30
1376	29	1	30
1377	29	1	30
1378	29	1	30
1379	29	1	30
1380	29	1	30
1381	29	1	30
1382	29	1	30
1383	29	1	30
1384	29	1	30
1385	29	1	30
1386	29	1	30
1387	29	1	30
1388	29	1	30
1389	29	1	30
1390	29	1	30
1391	29	1	30
1392	29	1	30
1393	29	1	30
1394	29	1	30
1395	29	1	30
1396	29	1	30
1397	29	1	30
1398	29	1	30
1399	29	1	30
1400	29	1	30
1401	29	1	30
1402	29	1	30
1403	29	1	30
1404	29	1	30
1405	29	1	30
1406	29	1	30
1407	29	1	30
1408	29	1	30
1409	29	1	30
1410	29	1	30
1411	29	1	30
1412	29	1	30
1413	29	1	30
1414	29	1	30
1415	29	1	30
1416	29	1	30
1417	29	1	30
1418	29	1	30
1419	29	1	30
1420	29	1	30
1421	29	1	30
1422	29	1	30
1423	29	1	30
1424	29	1	30
1425	29	1	30
1426	29	1	30
1427	29	1	30
1428	29	1	30
1429	29	1	30
1430	29	1	30
1431	29	1	30
1432	29	1	30
1433	29	1	30
1434	29	1	30
1435	29	1	30
1436	29	1	30
1437	29	1	30
1438	29	1	30
1439	29	1	30
1440	29	1	30
1441	29	1	30
1442	29	1	30
1443	29	1	30
1444	29	1	30
1445	29	1	30
1446	29	1	30
1447	29	1	30
1448	29	1	30
1449	29	1	30
1450	29	1	30
1451	29	1	30
1452	29	1	30
1453	29	1	30
1454	29	1	30
1455	29	1	30
1456	29	1	30
1457	29	1	30
1458	29	1	30
1459	29	1	30
1460	29	1	30
1461	29	1	30
1462	29	1	30
1463	29	1	30
1464	29	1	30
1465	29	1	30
1466	29	1	30
1467	29	1	30
1468	29	1	30
1469	29	1	30
1470	29	1	30
1471	29	1	30
1472	29	1	30
1473	29	1	30
1474	29	1	30
1475	29	1	30
1476	29	1	30
1477	29	1	30
1478	29	1	30
1479	29	1	30
1480	29	1	30
1481	29	1	30
1482	29	1	30
1483	29	1	30
1484	29	1	30
1485	29	1	30
1486	29	1	30
1487	29	1	30
1488	29	1	30
1489	29	1	30
1490	29	1	30
1491	29	1	30
1492	29	1	30
1493	29	1	30
1494	29	1	30
1495	29	1	30
1496	29	1	30
1497	29	1	30
1498	29	1	30
1499	29	1	30
1500	29	1	30
1501	29	1	30
1502	29	1	30
1503	29	1	30
1504	29	1	30
1505	29	1	30
1506	29	1	30
1507	29	1	30
1508	29	1	30
1509	29	1	30
1510	29	1	30
1511	29	1	30
1512	29	1	30
1513	29	1	30
1514	29	1	30
1515	29	1	30
1516	29	1	30
1517	29	1	30
1518	29	1	30
1519	29	1	30
1520	29	1	30
1521	29	1	30
1522	29	1	30
1523	29	1	30
1524	29	1	30
1525	29	1	30
1526	29	1	30
1527	29	1	30
1528	29	1	30
1529	29	1	30
1530	29	1	30
1531	29	1	30
1532	29	1	30
1533	29	1	30
1534	29	1	30
1535	29	1	30
1536	29	1	30
1537	29	1	30
1538	29	1	30
1539	29	1	30
1540	29	1	30
1541	29	1	30
1542	29	1	30
1543	29	1	30
1544	29	1	30
1545	29	1	30
1546	29	1	30
1547	29	1	30
1548	29	1	30
1549	29	1	30
1550	29	1	30
1551	29	1	30
1552	29	1	30
1553	29	1	30
1554	29	1	30
1555	29	1	30
1556	29	1	30
1557	29	1	30
1558	29	1	30
1559	29	1	30
1560	29	1	30
1561	29	1	30
1562	29	1	30
1563	29	1	30
1564	29	1	30
1565	29	1	30
1566	29	1	30
1567	29	1	30
