# MSD of Non-stuck Dynabeads (H)
LagTime(MCS)	MSD
20000	13687.966171834769
20100	13710.668317524685
20200	13706.444289431745
20300	13728.690064493812
20400	13723.880540613367
20500	13733.63357949515
20600	13774.92309997876
20700	13783.66661959375
20800	13797.6601104237
20900	13834.006785904683
21000	13870.410923198413
21100	13907.359297637151
21200	13930.23215317229
21300	13980.567463741283
21400	14012.304675753665
21500	14048.665970979322
21600	14103.145116118149
21700	14139.018660278743
21800	14156.867752857319
21900	14175.251990673447
22000	14212.285052203473
22100	14194.360806831282
22200	14195.098749411582
22300	14223.765199086856
22400	14233.654791273233
22500	14270.336682244792
22600	14261.86427652723
22700	14317.899938926188
22800	14328.136264668568
22900	14347.350525241782
23000	14339.320825499111
23100	14340.266879373456
23200	14369.02609147798
23300	14352.128066864003
23400	14362.478191095644
23500	14354.337215527556
23600	14364.560175664164
23700	14383.679677900485
23800	14420.821977315005
23900	14467.222330283106
24000	14476.858837940948
24100	14523.13147919643
24200	14560.23773879656
24300	14606.618073345215
24400	14625.942273024748
24500	14635.557869007245
24600	14635.648583436194
24700	14709.712023371054
24800	14736.555672328328
24900	14773.041836133312
25000	14791.551270906455
25100	14837.521341003949
25200	14865.568387002151
25300	14880.183163643329
25400	14953.93492642079
25500	14962.96047167315
25600	14996.021708854407
25700	15019.295026897764
25800	15043.31448955479
25900	15077.395531541353
26000	15101.857568126763
26100	15107.885478489246
26200	15141.757429249637
26300	15129.554033641349
26400	15117.857703506443
26500	15124.189515494769
26600	15166.815776029136
26700	15218.917782620454
26800	15280.742865563312
26900	15305.469925183294
27000	15376.33541812104
27100	15410.09246582278
27200	15415.975358483853
27300	15412.451267041013
27400	15427.752697462494
27500	15415.363145825575
27600	15439.968819812473
27700	15445.717502540052
27800	15460.90415561645
27900	15461.491937849045
28000	15517.532538584463
28100	15560.329137867311
28200	15557.029315478861
28300	15572.695209871055
28400	15559.728566592617
28500	15556.0615233343
28600	15571.313829366694
28700	15586.432618608053
28800	15582.015592715763
28900	15615.953561694363
29000	15630.804158384606
29100	15673.994252972983
29200	15698.406095868353
29300	15713.387348694516
29400	15738.154575894148
29500	15706.233542289008
29600	15716.45254510059
29700	15716.826717076425
29800	15736.194578267225
29900	15727.455878759602
30000	15732.306284209932
30100	15728.171621182264
30200	15757.55059848044
30300	15786.604040130542
30400	15782.294921195105
30500	15778.946845402019
30600	15775.83337879372
30700	15791.743345974368
30800	15811.627070966862
30900	15822.489006183829
31000	15818.882148763498
31100	15829.12869014073
31200	15807.026170185722
31300	15832.246903748484
31400	15828.866436613178
31500	15835.3637377946
31600	15832.343700082483
31700	15810.345813147776
31800	15820.71792384696
31900	15812.76405235166
32000	15819.187879969313
32100	15806.10009810222
32200	15831.45895880409
32300	15799.982787667892
32400	15797.145507602705
32500	15794.540923663133
32600	15772.313184185485
32700	15750.154114069912
32800	15717.898102204445
32900	15696.041077067252
33000	15663.519251324351
33100	15707.96975800755
33200	15694.672535757083
33300	15667.221345120328
33400	15663.41541908369
33500	15645.998033249924
33600	15608.982290861371
33700	15557.221534994713
33800	15515.640461702502
33900	15463.93387030189
34000	15440.92583833877
34100	15446.587323357637
34200	15423.809687251885
34300	15414.484365487873
34400	15424.470967707442
34500	15414.87275656608
34600	15391.583264843604
34700	15343.22415510138
34800	15348.319676296225
34900	15372.44212363817
35000	15391.827701747874
35100	15440.455828598037
35200	15440.405736856452
35300	15479.064865735141
35400	15489.350500632374
35500	15499.125861693197
35600	15469.930443315077
35700	15507.913696268928
35800	15517.008203902878
35900	15525.979697026938
36000	15511.844314443273
36100	15516.621093634669
36200	15549.931669692385
36300	15602.86842468968
36400	15598.011204209177
36500	15623.012043135537
36600	15647.89330727999
36700	15653.285548150277
36800	15666.99690609405
36900	15670.960797593585
37000	15704.096049434904
37100	15727.965606169666
37200	15772.013394795875
37300	15815.41534671506
37400	15840.010651768818
37500	15855.135078105544
37600	15889.63085246874
37700	15924.241078012254
37800	15939.322502475043
37900	15954.241637637746
38000	15978.992663121579
38100	16003.27815280405
38200	16047.914687931034
38300	16082.587258672871
38400	16127.23253235969
38500	16151.885953003313
38600	16186.630016156263
38700	16210.851199830446
38800	16235.415453595246
38900	16269.9720028385
39000	16304.545167198447
39100	16348.98666403025
39200	16383.253176429882
39300	16388.432983674615
39400	16412.94451312399
39500	16427.878890179705
39600	16462.143294161306
39700	16486.53397323542
39800	16522.054428670028
39900	16537.63501739051
40000	16572.974621537436
40100	16598.544842926553
40200	16614.25377808611
40300	16629.028723840092
40400	16673.778384668916
40500	16708.870659113298
40600	16734.44672630789
40700	16730.329882410904
40800	16736.04041974242
40900	16721.576507374688
41000	16737.393680213874
41100	16733.027515254504
41200	16719.1906967605
41300	16734.55210195125
41400	16739.682075815308
41500	16755.010322883594
41600	16730.340110297402
41700	16765.142853238358
41800	16759.65832014081
41900	16754.676892574516
42000	16759.899105584973
42100	16745.193794210503
42200	16760.559921036085
42300	16775.89808840345
42400	16810.774351051554
42500	16815.015735649056
42600	16829.15793521173
42700	16863.958344806957
42800	16888.806292275545
42900	16913.10560587913
43000	16938.20490654445
43100	16984.16147449137
43200	17020.268915059143
43300	17036.132523643337
43400	17061.251739278636
43500	17085.849778296873
43600	17100.65883963253
43700	17155.917662782165
43800	17191.52503382621
43900	17217.256053863064
44000	17262.545218512096
44100	17298.05396325503
44200	17332.89153383795
44300	17347.893579605254
44400	17393.677762163486
44500	17429.146109724305
44600	17465.65371795375
44700	17491.898596655283
44800	17528.553148588315
44900	17545.266562126653
45000	17581.853367425083
45100	17618.25551527436
45200	17674.49551282526
45300	17720.730587511065
45400	17766.982638307065
45500	17783.141242414633
45600	17799.636470920035
45700	17826.002332610256
45800	17862.886510916527
