MCS	ContactEnergy	VolumeEnergy	SurfaceEnergy	TotalEnergy
139	60910.0	5896.061563590629	2988.6367069825064	69794.69827057314
140	60950.0	5561.540024274	3024.3282405351056	69535.8682648091
141	60760.0	6070.332228549378	3300.313059919863	70130.64528846924
142	60760.0	5855.429204248794	3428.1162105867406	70043.54541483553
143	60800.0	6182.510005632503	3330.584126150934	70313.09413178344
144	61000.0	5649.187929209293	3029.239996037213	69678.4279252465
145	61000.0	6261.634849979164	3125.9676718403352	70387.6025218195
146	61245.0	6548.77143749778	2724.3709028017474	70518.14234029953
147	61215.0	6265.614361992193	2766.3092558120843	70246.92361780428
148	61015.0	6072.419704089843	3172.5823148404015	70260.00201893024
149	61205.0	6337.446855575399	2868.751486785477	70411.19834236088
150	61165.0	6505.855003765755	2926.775120894308	70597.63012466006
151	60965.0	6545.372267557395	3351.937219699612	70862.30948725701
152	61125.0	5632.393223976687	3102.8034937073244	69860.19671768401
153	61040.0	6242.185168861033	3236.6637136915233	70518.84888255256
154	60840.0	6164.628664039046	3620.636599610443	70625.26526364949
155	60935.0	5975.727089332504	3480.7171658676816	70391.44425520019
156	61320.0	6363.625090432324	2913.247627558885	70596.87271799121
157	61160.0	5941.449460246222	3185.2580245852005	70286.70748483142
158	61185.0	5871.547916059353	3171.5865387389204	70228.13445479827
159	61320.0	6033.610551865859	2957.2807632101467	70310.891315076
160	61145.0	6111.128502309293	3302.854408218409	70558.9829105277
161	61185.0	5946.462454645516	3258.366105972673	70389.82856061819
162	61410.0	6068.490735290543	3012.778907836764	70491.2696431273
163	61490.0	5548.931293157948	2900.260843815049	69939.192136973
164	61480.0	5857.683382092946	2879.708248738898	70217.39163083184
165	61360.0	6328.454239339189	3045.3511865239125	70733.8054258631
166	61610.0	6335.17311752119	2746.95161643147	70692.12473395266
167	61280.0	6756.890195166779	3204.101435415214	71240.991630582
168	61480.0	6427.024394700275	2936.553796089138	70843.57819078941
169	61480.0	6155.179864986421	2971.679496540455	70606.85936152688
170	61360.0	6250.732674140454	3303.3659061108483	70914.0985802513
171	61440.0	5818.281935626728	3197.298795230454	70455.58073085718
172	61480.0	5309.4734242865525	3167.238885710831	69956.71230999738
173	61200.0	6065.173724897759	3602.9364180279663	70868.11014292573
174	61480.0	5970.963129208394	3155.055648618727	70606.01877782712
175	61560.0	6128.701950633986	3094.146850599791	70782.84880123378
176	61680.0	6415.376425746799	2851.192731379415	70946.56915712621
177	61600.0	6654.404523296835	3058.7304114172002	71313.13493471403
178	61760.0	6003.044849241123	2871.4051656791708	70634.4500149203
179	61400.0	6399.505831008864	3377.283539319178	71176.78937032804
180	61600.0	6176.896065401816	3173.918245433597	70950.81431083541
181	61720.0	6979.595587820368	2960.6946601968957	71660.29024801726
