wMCS 	 D_Dynabead 	 D_TCell 
287	0.0010526417261387665	1.0466711535496944e-05
288	0.0010516197239006024	1.0478538270015881e-05
289	0.001049867476886759	1.0497429201779025e-05
290	0.001047839327143557	1.0502524965848941e-05
291	0.001046004437280061	1.0509803140642373e-05
292	0.00104486024948723	1.0495494968627829e-05
293	0.0010435410309635005	1.0478926226512028e-05
294	0.0010424164130229154	1.0452000847201833e-05
295	0.0010410395837145245	1.0431049141151506e-05
296	0.001040504962003374	1.043733556102386e-05
297	0.001039474337269781	1.0417053645853905e-05
298	0.0010384639362006798	1.0374655692619743e-05
299	0.001037170728191175	1.033935524792179e-05
300	0.0010364138107930233	1.0296753026233579e-05
301	0.0010354330390293918	1.0249925941093779e-05
302	0.0010354117757673407	1.022463295871506e-05
303	0.001035753764137952	1.0235649751666451e-05
304	0.0010363191724731137	1.025986644936401e-05
305	0.0010369411278938153	1.0250189571670377e-05
306	0.0010376452015801218	1.0246965414398875e-05
307	0.001038228183501236	1.0211054030271355e-05
308	0.001039466773944968	1.0168953372329278e-05
309	0.0010407352909226743	1.0127647961374004e-05
310	0.0010424421529837047	1.0054848059515058e-05
311	0.0010432936885265188	9.992399769963002e-06
312	0.0010436371941262873	9.969144474257907e-06
313	0.0010444201920421557	9.942186325843569e-06
314	0.0010446415379696892	9.89446090280556e-06
315	0.0010446124145605095	9.830811923928361e-06
316	0.0010442892298090723	9.750985034210083e-06
317	0.0010434155383806415	9.690262043844999e-06
318	0.001042377700686888	9.623132666119128e-06
319	0.0010415812672575741	9.518580203077407e-06
