# MSD of Single Random Dynabead (H) (Single Random Atom)
LagTime(MCS)	MSD
39600	1127.6142609980307
39700	1131.3181823170162
39800	1135.0803131217253
39900	1138.9434106978588
40000	1142.9415738084354
40100	1146.9099900568835
40200	1150.7310406910256
40300	1154.66065470787
40400	1158.6517883724882
40500	1162.6714140640106
40600	1166.5979892600444
40700	1170.487098362064
40800	1174.2664053459885
40900	1178.0500891288393
41000	1181.9116465314873
41100	1185.826338433777
41200	1189.83131517336
41300	1193.9494476107066
41400	1198.1788364318782
41500	1202.3529201386846
41600	1206.5268202077714
41700	1210.8020152333775
41800	1214.9445471056388
41900	1219.046374571044
42000	1223.1253672054154
42100	1227.2021158211865
42200	1231.236401346221
42300	1235.350204351591
42400	1239.549757950881
42500	1243.7779141424107
42600	1247.990460038127
42700	1252.2847003820352
42800	1256.5992674096487
42900	1260.7921671280637
43000	1265.1099660307518
43100	1269.2890277049737
43200	1273.5115197976702
43300	1277.7839598681894
43400	1282.1563753520604
43500	1286.5038667658227
43600	1290.6602871973882
43700	1294.776362503413
43800	1298.7835937491618
43900	1302.8050803725491
44000	1306.725363977952
44100	1310.6109037357382
44200	1314.5237382124178
44300	1318.4797554481775
44400	1322.6854908328387
44500	1327.0773569940357
44600	1331.6031528542517
44700	1336.0888380623073
44800	1340.3738265006687
44900	1344.5619123672368
45000	1348.553276665043
45100	1352.6277761944802
45200	1356.8639812457259
45300	1361.1591652549687
45400	1365.4907933150535
45500	1370.0060129969497
45600	1374.4592736383202
45700	1378.885439415113
45800	1383.3152924669557
45900	1387.69859723415
46000	1391.945334449818
46100	1396.1546924470458
46200	1400.3388997892034
46300	1404.610935847857
46400	1408.8725563589833
46500	1413.1976058736327
46600	1417.4896095132572
46700	1421.7744800551445
46800	1425.9978928438504
46900	1430.2681812890805
47000	1434.6390874285134
47100	1439.034970780369
47200	1443.477751739556
47300	1447.8531890556915
47400	1452.1707874775748
47500	1456.305069508846
47600	1460.5047088849824
47700	1464.60483846016
47800	1468.8351487110485
47900	1473.1449565848452
48000	1477.4261245300877
48100	1481.7530309562571
48200	1486.0895137047046
48300	1490.2866970891482
48400	1494.5719770620344
48500	1498.8634752571234
48600	1503.2383417332312
48700	1507.5973498273524
48800	1512.0862430543057
48900	1516.505262947583
49000	1520.9923907915363
49100	1525.3215899841161
49200	1529.4504379979917
49300	1533.3777822353295
49400	1537.3395704962313
