MCS 	 CellCount 
8620 	 3520
8630 	 3516
8640 	 3514
8650 	 3499
8660 	 3490
8670 	 3493
8680 	 3496
8690 	 3494
8700 	 3492
8710 	 3495
8720 	 3513
8730 	 3526
8740 	 3542
8750 	 3557
8760 	 3570
8770 	 3583
8780 	 3583
8790 	 3583
8800 	 3583
8810 	 3583
8820 	 3583
8830 	 3583
8840 	 3583
8850 	 3583
8860 	 3583
8870 	 3583
8880 	 3583
8890 	 3583
8900 	 3583
8910 	 3583
8920 	 3583
8930 	 3583
8940 	 3583
8950 	 3583
8960 	 3583
8970 	 3583
8980 	 3583
8990 	 3583
9000 	 3583
9010 	 3583
9020 	 3583
9030 	 3583
9040 	 3583
9050 	 3583
9060 	 3583
9070 	 3583
9080 	 3583
9090 	 3583
9100 	 3583
9110 	 3583
9120 	 3583
9130 	 3583
9140 	 3583
9150 	 3583
9160 	 3583
9170 	 3583
9180 	 3583
9190 	 3583
9200 	 3583
9210 	 3583
9220 	 3583
9230 	 3583
9240 	 3583
9250 	 3583
9260 	 3583
9270 	 3583
9280 	 3583
9290 	 3583
9300 	 3583
9310 	 3583
9320 	 3583
9330 	 3583
9340 	 3583
9350 	 3583
9360 	 3583
9370 	 3583
9380 	 3583
9390 	 3583
9400 	 3583
9410 	 3583
9420 	 3583
9430 	 3582
9440 	 3582
9450 	 3582
9460 	 3582
9470 	 3582
9480 	 3582
9490 	 3582
9500 	 3582
9510 	 3582
9520 	 3582
9530 	 3582
9540 	 3581
9550 	 3581
9560 	 3581
9570 	 3581
9580 	 3581
9590 	 3581
9600 	 3581
9610 	 3581
9620 	 3581
9630 	 3581
9640 	 3581
9650 	 3581
9660 	 3581
9670 	 3581
9680 	 3581
9690 	 3581
9700 	 3581
9710 	 3581
9720 	 3581
9730 	 3581
9740 	 3581
9750 	 3581
9760 	 3581
9770 	 3581
9780 	 3581
9790 	 3581
9800 	 3581
9810 	 3581
9820 	 3581
9830 	 3581
9840 	 3581
9850 	 3581
9860 	 3581
9870 	 3581
9880 	 3581
9890 	 3581
9900 	 3581
9910 	 3580
9920 	 3580
9930 	 3580
9940 	 3579
9950 	 3579
9960 	 3578
9970 	 3578
9980 	 3578
9990 	 3578
