MCS 	 ContactEnergy 
904 	 17600.0
905 	 17700.0
906 	 17728.0
907 	 17922.0
908 	 17690.0
909 	 17840.0
910 	 17688.0
911 	 17882.0
912 	 17606.0
913 	 17642.0
914 	 17636.0
915 	 17474.0
916 	 17598.0
917 	 17442.0
918 	 17704.0
919 	 17638.0
920 	 17760.0
921 	 17754.0
922 	 17848.0
923 	 17746.0
924 	 17830.0
925 	 17786.0
926 	 17760.0
927 	 17832.0
928 	 17820.0
929 	 17728.0
930 	 17628.0
931 	 17674.0
932 	 17762.0
933 	 17644.0
934 	 17622.0
935 	 17552.0
936 	 17518.0
937 	 17588.0
938 	 17570.0
939 	 17756.0
940 	 17596.0
941 	 17814.0
942 	 17604.0
943 	 17712.0
944 	 17656.0
945 	 17680.0
946 	 17786.0
947 	 17806.0
948 	 17734.0
949 	 17580.0
950 	 17514.0
951 	 17458.0
952 	 17566.0
953 	 17640.0
954 	 17700.0
955 	 17692.0
956 	 17514.0
957 	 17614.0
958 	 17666.0
959 	 17604.0
960 	 17524.0
961 	 17602.0
962 	 17600.0
963 	 17724.0
964 	 17702.0
965 	 17798.0
966 	 17590.0
967 	 17548.0
968 	 17468.0
969 	 17556.0
970 	 17536.0
971 	 17512.0
972 	 17476.0
973 	 17566.0
974 	 17602.0
975 	 17658.0
976 	 17620.0
977 	 17832.0
978 	 17718.0
979 	 17600.0
980 	 17800.0
981 	 17860.0
982 	 17726.0
983 	 17972.0
984 	 17912.0
985 	 17922.0
986 	 17744.0
987 	 17864.0
988 	 17682.0
989 	 17760.0
990 	 17742.0
991 	 17680.0
992 	 17774.0
993 	 17864.0
994 	 17854.0
995 	 17696.0
996 	 17642.0
997 	 17570.0
998 	 17718.0
999 	 17618.0
1000 	 17824.0
1001 	 17784.0
1002 	 17828.0
1003 	 17594.0
1004 	 17588.0
1005 	 17634.0
1006 	 17484.0
1007 	 17476.0
1008 	 17524.0
1009 	 17620.0
1010 	 17724.0
1011 	 17676.0
1012 	 17668.0
1013 	 17734.0
1014 	 17762.0
1015 	 17788.0
1016 	 17662.0
1017 	 17572.0
1018 	 17542.0
1019 	 17594.0
1020 	 17558.0
1021 	 17572.0
1022 	 17668.0
1023 	 17886.0
1024 	 17950.0
1025 	 17786.0
1026 	 17850.0
1027 	 17674.0
1028 	 17628.0
1029 	 17622.0
1030 	 17660.0
1031 	 17706.0
1032 	 17690.0
1033 	 17730.0
1034 	 17686.0
1035 	 17660.0
1036 	 17802.0
1037 	 17848.0
1038 	 17864.0
1039 	 17970.0
1040 	 17790.0
1041 	 17736.0
1042 	 17764.0
1043 	 17836.0
1044 	 17712.0
1045 	 17730.0
1046 	 17582.0
1047 	 17662.0
1048 	 17738.0
1049 	 17686.0
1050 	 17690.0
1051 	 17682.0
1052 	 17532.0
1053 	 17660.0
1054 	 17628.0
1055 	 17732.0
1056 	 17646.0
1057 	 17838.0
1058 	 17704.0
1059 	 17664.0
1060 	 17612.0
1061 	 17610.0
1062 	 17732.0
1063 	 17756.0
1064 	 17656.0
1065 	 17596.0
1066 	 17710.0
1067 	 17668.0
1068 	 17706.0
1069 	 17694.0
1070 	 17860.0
1071 	 17852.0
1072 	 17826.0
1073 	 17694.0
1074 	 17516.0
1075 	 17712.0
1076 	 17708.0
1077 	 17678.0
1078 	 17750.0
1079 	 17802.0
1080 	 17706.0
1081 	 17796.0
1082 	 18002.0
1083 	 17730.0
1084 	 17608.0
1085 	 17488.0
1086 	 17572.0
1087 	 17720.0
1088 	 17576.0
1089 	 17416.0
1090 	 17558.0
1091 	 17806.0
1092 	 17802.0
1093 	 17586.0
1094 	 17682.0
1095 	 17630.0
1096 	 17646.0
1097 	 17656.0
1098 	 17646.0
1099 	 17664.0
1100 	 17836.0
1101 	 17928.0
1102 	 18016.0
1103 	 17768.0
1104 	 17900.0
1105 	 17844.0
